// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\Repos\BroadridgeTest\Broadridge\BenchmarkTests\bin\Release\net8.0\400dda84-5cf1-42bf-bf9d-577e5e578d1e\obj\Release\net8.0/" /p:OutDir="C:\Repos\BroadridgeTest\Broadridge\BenchmarkTests\bin\Release\net8.0\400dda84-5cf1-42bf-bf9d-577e5e578d1e\bin\Release\net8.0/" /p:OutputPath="C:\Repos\BroadridgeTest\Broadridge\BenchmarkTests\bin\Release\net8.0\400dda84-5cf1-42bf-bf9d-577e5e578d1e\bin\Release\net8.0/" in C:\Repos\BroadridgeTest\Broadridge\BenchmarkTests\bin\Release\net8.0\400dda84-5cf1-42bf-bf9d-577e5e578d1e
// command took 3.37 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\Repos\BroadridgeTest\Broadridge\BenchmarkTests\bin\Release\net8.0\400dda84-5cf1-42bf-bf9d-577e5e578d1e\obj\Release\net8.0/" /p:OutDir="C:\Repos\BroadridgeTest\Broadridge\BenchmarkTests\bin\Release\net8.0\400dda84-5cf1-42bf-bf9d-577e5e578d1e\bin\Release\net8.0/" /p:OutputPath="C:\Repos\BroadridgeTest\Broadridge\BenchmarkTests\bin\Release\net8.0\400dda84-5cf1-42bf-bf9d-577e5e578d1e\bin\Release\net8.0/" --output "C:\Repos\BroadridgeTest\Broadridge\BenchmarkTests\bin\Release\net8.0\400dda84-5cf1-42bf-bf9d-577e5e578d1e\bin\Release\net8.0/" in C:\Repos\BroadridgeTest\Broadridge\BenchmarkTests\bin\Release\net8.0\400dda84-5cf1-42bf-bf9d-577e5e578d1e
// command took 12.82 sec and exited with 0
// ***** Done, took 00:00:16 (16.36 sec)   *****
// Found 5 benchmarks:
//   BenchmarkMethods.UsedBenchmark: DefaultJob
//   BenchmarkMethods.LocalDictionariesBenchmark: DefaultJob
//   BenchmarkMethods.WithNoCachingBenchmark: DefaultJob
//   BenchmarkMethods.WithTryAdd: DefaultJob
//   BenchmarkMethods.WithCachingBenchmark: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: BenchmarkMethods.UsedBenchmark: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 400dda84-5cf1-42bf-bf9d-577e5e578d1e.dll --anonymousPipes 1540 1320 --benchmarkName BenchmarkTests.BenchmarkMethods.UsedBenchmark --job Default --benchmarkId 0 in C:\Repos\BroadridgeTest\Broadridge\BenchmarkTests\bin\Release\net8.0\400dda84-5cf1-42bf-bf9d-577e5e578d1e\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 8.0.5 (8.0.524.21615), X64 RyuJIT AVX-512F+CD+BW+DQ+VL+VBMI
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX-512F+CD+BW+DQ+VL+VBMI,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 235600.00 ns, 235.6000 us/op
WorkloadJitting  1: 1 op, 16576300.00 ns, 16.5763 ms/op

OverheadJitting  2: 16 op, 640100.00 ns, 40.0063 us/op
WorkloadJitting  2: 16 op, 1020900.00 ns, 63.8063 us/op

WorkloadPilot    1: 16 op, 228900.00 ns, 14.3063 us/op
WorkloadPilot    2: 32 op, 557000.00 ns, 17.4063 us/op
WorkloadPilot    3: 64 op, 956400.00 ns, 14.9438 us/op
WorkloadPilot    4: 128 op, 3241000.00 ns, 25.3203 us/op
WorkloadPilot    5: 256 op, 4100800.00 ns, 16.0188 us/op
WorkloadPilot    6: 512 op, 9219000.00 ns, 18.0059 us/op
WorkloadPilot    7: 1024 op, 14996900.00 ns, 14.6454 us/op
WorkloadPilot    8: 2048 op, 29515700.00 ns, 14.4120 us/op
WorkloadPilot    9: 4096 op, 55069200.00 ns, 13.4446 us/op
WorkloadPilot   10: 8192 op, 81426900.00 ns, 9.9398 us/op
WorkloadPilot   11: 16384 op, 183409000.00 ns, 11.1944 us/op
WorkloadPilot   12: 32768 op, 382239500.00 ns, 11.6650 us/op
WorkloadPilot   13: 65536 op, 360606400.00 ns, 5.5024 us/op
WorkloadPilot   14: 131072 op, 631822500.00 ns, 4.8204 us/op

OverheadWarmup   1: 131072 op, 380500.00 ns, 2.9030 ns/op
OverheadWarmup   2: 131072 op, 379200.00 ns, 2.8931 ns/op
OverheadWarmup   3: 131072 op, 505600.00 ns, 3.8574 ns/op
OverheadWarmup   4: 131072 op, 438000.00 ns, 3.3417 ns/op
